1,FiveOClockBot,9.0007,RandomBot,6.0012,ArsenalBot,8.9981
2,BrattyKidBot,6.1903,RandomBot,11.6266,FiveOClockBot,6.1831
3,ChampBot,7.8234,RandomBot,8.3121,FiveOClockBot,7.8645
4,ChampBot2,7.6507,RandomBot,8.7139,FiveOClockBot,7.6354
5,CoordinateBot,8.9029,RandomBot,6.2354,FiveOClockBot,8.8617
6,DickinsonBaldiniBot,8.6782,RandomBot,6.5916,FiveOClockBot,8.7302
7,EABot,8.992,RandomBot,6.0,FiveOClockBot,9.008
8,EASquared,8.7678,RandomBot,6.5399,FiveOClockBot,8.6923
9,FiveOClockBot,8.3919,RandomBot,7.2,EASquaredBeater,8.4081
10,RandomBot,6.0009,FollowerBot,9.0207,FiveOClockBot,8.9784
11,FunBot,8.288,RandomBot,7.3252,FiveOClockBot,8.3868
12,JoseZiBot2,8.1652,RandomBot,7.6211,FiveOClockBot,8.2137
13,JoseZiBotDef,8.0569,RandomBot,7.8421,FiveOClockBot,8.101
14,RollAgent,7.974,RandomBot,7.9889,FiveOClockBot,8.0371
15,SpongeBot,8.9868,RandomBot,6.0,FiveOClockBot,9.0132
16,SquidBot,8.9999,RandomBot,6.0,FiveOClockBot,9.0001
17,StickBot,8.2249,RandomBot,7.5087,FiveOClockBot,8.2664
18,StickySmartBot,8.415,RandomBot,7.1438,FiveOClockBot,8.4412
19,Strategist,8.9956,RandomBot,6.0,FiveOClockBot,9.0044
20,VeryRandomBot,7.9917,RandomBot,7.989,FiveOClockBot,8.0193
21,BrattyKidBot,6.0005,FiveOClockBot,6.0083,ArsenalBot,11.9912
22,ChampBot,6.0005,FiveOClockBot,8.8341,ArsenalBot,9.1654
23,ChampBot2,6.0,FiveOClockBot,9.1692,ArsenalBot,8.8308
24,CoordinateBot,6.0005,FiveOClockBot,10.9995,ArsenalBot,7.0
25,DickinsonBaldiniBot,6.0005,FiveOClockBot,9.9999,ArsenalBot,7.9996
26,FiveOClockBot,8.0003,EABot,6.0005,ArsenalBot,9.9992
27,FiveOClockBot,6.002,EASquared,6.0005,ArsenalBot,11.9975
28,EASquaredBeater,6.0005,FiveOClockBot,10.0,ArsenalBot,7.9995
29,FiveOClockBot,11.9999,FollowerBot,6.0,ArsenalBot,6.0001
30,FunBot,6.0005,FiveOClockBot,10.0003,ArsenalBot,7.9992
31,FiveOClockBot,9.1195,JoseZiBot2,6.0005,ArsenalBot,8.88
32,JoseZiBotDef,6.0005,FiveOClockBot,8.9197,ArsenalBot,9.0798
33,RollAgent,6.0,FiveOClockBot,10.9996,ArsenalBot,7.0004
34,SpongeBot,6.0,FiveOClockBot,12.0,ArsenalBot,6.0
35,SquidBot,6.0,FiveOClockBot,12.0,ArsenalBot,6.0
36,FiveOClockBot,8.8248,StickBot,6.0005,ArsenalBot,9.1747
37,FiveOClockBot,9.0004,StickySmartBot,6.0,ArsenalBot,8.9996
38,FiveOClockBot,11.9995,Strategist,6.0005,ArsenalBot,6.0
39,FiveOClockBot,8.9978,VeryRandomBot,6.0005,ArsenalBot,9.0017
40,ChampBot,10.999,BrattyKidBot,6.5062,FiveOClockBot,6.4948
41,BrattyKidBot,6.9333,ChampBot2,10.1306,FiveOClockBot,6.9361
42,CoordinateBot,8.0,BrattyKidBot,9.9975,FiveOClockBot,6.0025
43,BrattyKidBot,6.0,DickinsonBaldiniBot,6.0078,FiveOClockBot,11.9922
44,BrattyKidBot,11.0,EABot,4.0,FiveOClockBot,9.0
45,BrattyKidBot,9.9975,EASquared,8.0,FiveOClockBot,6.0025
46,BrattyKidBot,10.9982,FiveOClockBot,5.0018,EASquaredBeater,8.0
47,BrattyKidBot,10.0001,FollowerBot,8.0,FiveOClockBot,5.9999
48,FunBot,6.3806,BrattyKidBot,8.0,FiveOClockBot,9.6194
49,BrattyKidBot,9.96,JoseZiBot2,6.4,FiveOClockBot,7.64
50,BrattyKidBot,5.4,JoseZiBotDef,7.68,FiveOClockBot,10.92
51,BrattyKidBot,5.0006,RollAgent,8.0,FiveOClockBot,10.9994
52,SpongeBot,6.008,BrattyKidBot,6.0005,FiveOClockBot,11.9915
53,BrattyKidBot,6.0005,SquidBot,6.008,FiveOClockBot,11.9915
54,BrattyKidBot,9.0,StickBot,8.0,FiveOClockBot,7.0
55,BrattyKidBot,8.9955,StickySmartBot,6.008,FiveOClockBot,8.9965
56,BrattyKidBot,6.0,Strategist,6.0078,FiveOClockBot,11.9922
57,BrattyKidBot,7.7546,VeryRandomBot,8.5416,FiveOClockBot,7.7038
58,ChampBot,8.3917,ChampBot2,7.8436,FiveOClockBot,7.7647
59,ChampBot,6.4548,CoordinateBot,9.0096,FiveOClockBot,8.5356
60,ChampBot,6.0,DickinsonBaldiniBot,9.1173,FiveOClockBot,8.8827
61,ChampBot,6.3757,EABot,9.1566,FiveOClockBot,8.4677
62,ChampBot,6.7586,EASquared,8.7171,FiveOClockBot,8.5243
63,ChampBot,6.7523,FiveOClockBot,8.0943,EASquaredBeater,9.1534
64,ChampBot,6.0008,FollowerBot,9.1135,FiveOClockBot,8.8857
65,ChampBot,7.1408,FunBot,8.4016,FiveOClockBot,8.4576
66,ChampBot,6.6109,JoseZiBot2,8.9269,FiveOClockBot,8.4622
67,ChampBot,7.1301,JoseZiBotDef,8.4105,FiveOClockBot,8.4594
68,ChampBot,7.9924,RollAgent,8.3226,FiveOClockBot,7.685
69,ChampBot,6.0005,SpongeBot,9.1314,FiveOClockBot,8.8681
70,ChampBot,6.0005,SquidBot,9.1295,FiveOClockBot,8.87
71,ChampBot,6.3666,StickBot,9.154,FiveOClockBot,8.4794
72,ChampBot,7.1894,StickySmartBot,8.605,FiveOClockBot,8.2056
73,ChampBot,6.0,Strategist,9.1278,FiveOClockBot,8.8722
74,ChampBot,7.8762,VeryRandomBot,8.2758,FiveOClockBot,7.848
